data;produto;categoria;regiao;estado;quantidade;receita;custo
03/02/2023;Monitor;Tecnologia;Nordeste;BA;7;28591.1;15868.93
16/09/2024;Teclado;Acessórios;Nordeste;BA;8;25551.71;13971.82
19/07/2023;Notebook;Tecnologia;Sudeste;SP;3;2849.66;1817.44
16/06/2023;Mouse;Acessórios;Nordeste;BA;5;16025.09;11416.62
22/01/2024;Headset;Acessórios;Centro-Oeste;DF;6;4523.11;3241.26
28/09/2024;Mouse;Acessórios;Sul;PR;6;3021.03;2409.76
03/08/2024;Mouse;Acessórios;Sul;RS;1;1869.09;1228.79
16/11/2024;Mouse;Acessórios;Sul;PR;9;16294.78;11138.39
29/01/2023;Smartphone;Tecnologia;Sudeste;RJ;3;6663.24;5297.07
15/02/2024;Teclado;Acessórios;Sudeste;SP;9;6381.24;4353.69
11/09/2023;Teclado;Acessórios;Sudeste;RJ;5;12636.23;6368.4
02/09/2023;Teclado;Acessórios;Sudeste;RJ;9;43608.1;32379.85
26/06/2023;Teclado;Acessórios;Nordeste;BA;9;5146.63;2929.81
09/02/2023;Smartphone;Tecnologia;Sudeste;RJ;7;22714.89;17035.23
26/07/2023;Headset;Acessórios;Sudeste;SP;3;13775.83;7957.39
14/05/2023;Smartphone;Tecnologia;Sul;RS;8;31193.01;19575.07
23/01/2024;Teclado;Acessórios;Centro-Oeste;DF;6;17761.18;9865.56
14/04/2024;Mouse;Acessórios;Sul;PR;2;7976.2;6236.19
21/04/2023;Notebook;Tecnologia;Nordeste;BA;4;12762.2;9910.64
01/08/2023;Monitor;Tecnologia;Sul;RS;8;24535.98;16101.75
30/04/2024;Monitor;Tecnologia;Sul;PR;8;34403.22;24914.67
22/01/2024;Mouse;Acessórios;Sudeste;SP;5;15701.9;12397.85
03/10/2024;Headset;Acessórios;Sul;RS;9;16499.08;9067.56
24/08/2024;Mouse;Acessórios;Sul;PR;9;44468.92;32536.73
25/09/2024;Headset;Acessórios;Sul;PR;8;4198.8;3126.59
28/11/2023;Headset;Acessórios;Sul;PR;1;3701.04;2727.86
20/05/2023;Teclado;Acessórios;Sul;PR;5;23341.77;16230.07
13/05/2024;Mouse;Acessórios;Sul;PR;7;30276.22;19220.41
25/04/2024;Monitor;Tecnologia;Sudeste;SP;1;786.01;466.34
07/05/2024;Headset;Acessórios;Sul;RS;8;27973.2;18948.75
01/06/2023;Smartphone;Tecnologia;Sul;RS;6;26954.74;17295.9
14/04/2023;Monitor;Tecnologia;Sudeste;SP;5;24363.52;18386.52
08/11/2024;Smartphone;Tecnologia;Sudeste;SP;5;15128.74;11063.5
29/01/2023;Mouse;Acessórios;Sudeste;RJ;7;4773.66;3404.57
07/07/2024;Teclado;Acessórios;Nordeste;BA;3;1924.29;1329.54
27/08/2023;Smartphone;Tecnologia;Sul;PR;4;12138.96;8602.33
08/09/2024;Mouse;Acessórios;Sul;RS;5;8109.08;5052.89
02/11/2023;Mouse;Acessórios;Sudeste;RJ;4;18971.36;12894.07
21/06/2024;Headset;Acessórios;Sudeste;SP;3;3676.49;2863.65
27/10/2023;Notebook;Tecnologia;Nordeste;BA;9;8772.52;5587.75
30/06/2023;Mouse;Acessórios;Centro-Oeste;DF;4;18066.06;11956.17
22/04/2024;Mouse;Acessórios;Nordeste;BA;7;31726.88;18890.22
31/07/2023;Mouse;Acessórios;Sul;PR;1;1724.6;1197.4
06/01/2024;Smartphone;Tecnologia;Nordeste;BA;9;37629.6;28531.48
22/01/2024;Headset;Acessórios;Sudeste;SP;7;8686.66;5735.17
07/04/2023;Mouse;Acessórios;Centro-Oeste;DF;5;18079.81;10501.18
28/01/2023;Headset;Acessórios;Sudeste;RJ;8;37944.75;22651.53
12/12/2023;Headset;Acessórios;Sul;RS;8;29308.68;17851.59
27/11/2023;Smartphone;Tecnologia;Sudeste;SP;1;1642.62;942.97
22/11/2023;Mouse;Acessórios;Sudeste;SP;7;19163.33;11311.41
05/05/2024;Notebook;Tecnologia;Sudeste;SP;1;4989.83;2894.27
03/01/2024;Mouse;Acessórios;Nordeste;BA;2;5524.11;2847.37
29/01/2023;Teclado;Acessórios;Nordeste;BA;5;10264.1;7085.37
09/02/2023;Teclado;Acessórios;Sul;PR;2;5778.41;3665.45
13/10/2024;Smartphone;Tecnologia;Sul;RS;6;9535.49;6690.49
12/05/2023;Smartphone;Tecnologia;Sudeste;RJ;8;12554.95;9020.29
13/02/2024;Mouse;Acessórios;Sul;PR;8;20930.82;16640.57
22/10/2024;Teclado;Acessórios;Sul;PR;6;17465.92;9206.06
07/10/2024;Headset;Acessórios;Nordeste;BA;1;1178.23;768.75
25/10/2024;Monitor;Tecnologia;Sudeste;SP;3;9477.05;6664.92
02/09/2023;Headset;Acessórios;Sudeste;RJ;3;11100.52;8246.02
07/07/2024;Smartphone;Tecnologia;Sudeste;SP;4;13613.11;7518.66
02/05/2024;Smartphone;Tecnologia;Sul;RS;1;2289.07;1500.09
10/02/2023;Notebook;Tecnologia;Nordeste;BA;8;8950.75;5391.22
14/07/2024;Smartphone;Tecnologia;Sudeste;SP;9;12967.4;8590.05
01/07/2024;Headset;Acessórios;Sudeste;SP;3;4585.43;2533.39
03/08/2023;Teclado;Acessórios;Centro-Oeste;DF;9;25423.75;14701.25
10/12/2023;Headset;Acessórios;Sul;PR;1;918.96;706.83
14/08/2024;Mouse;Acessórios;Sul;RS;5;22359.32;12445.47
28/01/2024;Notebook;Tecnologia;Nordeste;BA;9;18642.99;13381.69
25/09/2024;Smartphone;Tecnologia;Nordeste;BA;3;13060.38;8115.1
02/11/2023;Monitor;Tecnologia;Sul;PR;1;3389.14;1780.12
12/05/2024;Headset;Acessórios;Sul;RS;8;32272.26;22613.06
15/11/2024;Smartphone;Tecnologia;Sudeste;SP;3;6525.82;5103.45
08/08/2024;Headset;Acessórios;Sudeste;SP;9;4704.99;2579.48
16/06/2024;Smartphone;Tecnologia;Sul;RS;2;5370.52;3407.74
20/06/2023;Mouse;Acessórios;Sudeste;SP;9;11624.97;5875.52
30/09/2023;Teclado;Acessórios;Nordeste;BA;5;6523.51;3978.95
19/08/2024;Teclado;Acessórios;Centro-Oeste;DF;8;34572.04;24106.53
07/04/2024;Smartphone;Tecnologia;Nordeste;BA;1;2941.43;1919.71
15/07/2023;Notebook;Tecnologia;Sudeste;RJ;6;10160.46;5823.95
27/06/2024;Headset;Acessórios;Sul;RS;6;29430.11;19012.52
20/12/2024;Headset;Acessórios;Sudeste;SP;8;26720.99;19731.94
25/04/2024;Teclado;Acessórios;Nordeste;BA;1;3096.07;2005.49
23/09/2024;Notebook;Tecnologia;Nordeste;BA;5;7679.17;4989.6
29/02/2024;Headset;Acessórios;Sul;PR;4;2437.69;1690.88
07/11/2023;Notebook;Tecnologia;Centro-Oeste;DF;1;4975.48;3189.2
09/07/2024;Mouse;Acessórios;Sudeste;SP;5;22378.62;16209.18
27/02/2023;Headset;Acessórios;Sul;PR;5;23387.17;14697.79
25/01/2024;Headset;Acessórios;Sudeste;RJ;5;15376.58;12210.53
08/08/2024;Monitor;Tecnologia;Centro-Oeste;DF;4;7300.08;4493.41
28/06/2023;Headset;Acessórios;Sul;PR;7;11956.96;7719.22
02/06/2023;Notebook;Tecnologia;Sul;PR;2;6011.21;4693.83
22/11/2024;Monitor;Tecnologia;Nordeste;BA;3;9195.83;4866.0
24/09/2024;Teclado;Acessórios;Sul;RS;6;12683.46;7308.83
11/12/2023;Teclado;Acessórios;Sudeste;RJ;2;3902.96;2945.17
21/08/2024;Mouse;Acessórios;Sul;PR;9;32950.61;20028.94
06/03/2024;Notebook;Tecnologia;Centro-Oeste;DF;7;16723.1;9646.92
09/08/2024;Notebook;Tecnologia;Sudeste;RJ;8;36876.66;24095.31
09/04/2024;Mouse;Acessórios;Sudeste;RJ;9;29929.72;16709.23
17/12/2023;Headset;Acessórios;Sul;PR;8;29270.81;21623.45
01/10/2024;Headset;Acessórios;Sul;PR;3;6062.93;3714.61
19/03/2023;Notebook;Tecnologia;Sudeste;SP;2;4946.27;3470.34
28/08/2023;Notebook;Tecnologia;Nordeste;BA;3;7785.57;5160.23
25/07/2024;Monitor;Tecnologia;Sul;RS;6;18952.5;9649.67
10/08/2023;Teclado;Acessórios;Sudeste;SP;4;2699.03;1595.07
11/04/2023;Teclado;Acessórios;Sul;RS;5;14250.47;10417.07
31/05/2023;Teclado;Acessórios;Nordeste;BA;5;12788.47;9624.69
04/06/2023;Teclado;Acessórios;Nordeste;BA;4;9404.37;6675.73
14/02/2023;Mouse;Acessórios;Centro-Oeste;DF;8;30139.29;23893.09
10/07/2024;Headset;Acessórios;Sudeste;SP;3;12235.01;7111.6
09/03/2024;Mouse;Acessórios;Centro-Oeste;DF;7;11402.11;6331.59
22/02/2023;Mouse;Acessórios;Sudeste;RJ;7;16991.91;12005.63
01/05/2024;Smartphone;Tecnologia;Sudeste;SP;1;1279.82;699.98
30/07/2024;Mouse;Acessórios;Sudeste;SP;2;3158.09;1667.98
03/02/2023;Mouse;Acessórios;Centro-Oeste;DF;9;31237.99;18242.37
07/12/2023;Notebook;Tecnologia;Sudeste;RJ;7;24199.01;15262.36
23/02/2023;Monitor;Tecnologia;Sudeste;SP;7;5003.06;3351.1
27/03/2024;Notebook;Tecnologia;Sul;PR;3;11730.92;5916.12
31/03/2023;Mouse;Acessórios;Sul;RS;5;4618.53;2740.75
13/02/2023;Teclado;Acessórios;Sul;PR;4;5155.94;2604.52
11/02/2023;Mouse;Acessórios;Nordeste;BA;5;13153.11;7260.0
01/12/2024;Monitor;Tecnologia;Sul;RS;5;11466.36;7851.65
04/02/2023;Smartphone;Tecnologia;Sul;PR;5;22450.31;12982.3
21/02/2023;Teclado;Acessórios;Sudeste;RJ;3;8292.34;6276.86
05/10/2023;Notebook;Tecnologia;Sudeste;SP;5;17889.18;12249.71
25/12/2023;Teclado;Acessórios;Sudeste;RJ;7;33243.93;25270.69
07/07/2024;Mouse;Acessórios;Sudeste;RJ;4;12358.54;7618.43
09/11/2024;Smartphone;Tecnologia;Centro-Oeste;DF;1;2562.14;1700.45
08/11/2024;Monitor;Tecnologia;Sudeste;RJ;5;16583.64;12373.52
14/08/2024;Notebook;Tecnologia;Sudeste;RJ;8;36592.62;20445.66
25/11/2023;Mouse;Acessórios;Nordeste;BA;2;1350.67;925.85
16/01/2023;Smartphone;Tecnologia;Centro-Oeste;DF;7;5742.44;3420.73
29/07/2024;Mouse;Acessórios;Sudeste;SP;2;3346.25;2171.09
04/08/2024;Teclado;Acessórios;Centro-Oeste;DF;5;10337.57;8073.59
15/05/2023;Headset;Acessórios;Sudeste;SP;8;30462.56;22574.1
04/02/2023;Mouse;Acessórios;Centro-Oeste;DF;9;26692.86;16737.53
29/01/2023;Smartphone;Tecnologia;Sul;RS;8;33046.05;26342.71
26/08/2024;Notebook;Tecnologia;Nordeste;BA;4;8696.33;6373.74
12/10/2024;Monitor;Tecnologia;Centro-Oeste;DF;8;35216.2;23544.14
17/04/2024;Headset;Acessórios;Sudeste;SP;1;3559.3;2569.72
28/12/2023;Monitor;Tecnologia;Sul;RS;3;2892.17;2229.19
25/01/2023;Smartphone;Tecnologia;Sul;PR;4;16876.23;10058.49
26/12/2024;Mouse;Acessórios;Nordeste;BA;3;6754.22;3399.07
12/10/2023;Mouse;Acessórios;Nordeste;BA;9;38809.3;23536.73
31/12/2023;Monitor;Tecnologia;Centro-Oeste;DF;4;12321.88;8496.57
13/01/2023;Notebook;Tecnologia;Sudeste;SP;5;4563.34;3106.42
01/11/2023;Teclado;Acessórios;Sul;PR;4;14105.33;10236.41
03/04/2023;Mouse;Acessórios;Sul;RS;7;28110.83;15012.29
24/07/2024;Mouse;Acessórios;Sudeste;SP;5;13624.46;7047.49
14/01/2023;Smartphone;Tecnologia;Sudeste;RJ;5;19083.3;12667.01
17/04/2023;Headset;Acessórios;Sudeste;SP;2;9717.87;6864.79
17/07/2023;Smartphone;Tecnologia;Sudeste;SP;1;955.05;501.62
11/10/2023;Headset;Acessórios;Sudeste;RJ;8;6619.47;4941.82
18/09/2023;Notebook;Tecnologia;Nordeste;BA;2;1732.14;910.15
09/09/2024;Headset;Acessórios;Sudeste;SP;3;9347.62;7094.3
20/12/2024;Smartphone;Tecnologia;Sudeste;SP;6;24945.59;19561.7
01/08/2024;Headset;Acessórios;Sul;RS;9;28471.49;17227.12
23/07/2024;Teclado;Acessórios;Sul;RS;3;11991.48;8004.57
26/12/2023;Headset;Acessórios;Sul;PR;3;3001.17;1944.12
22/09/2023;Smartphone;Tecnologia;Centro-Oeste;DF;2;5217.95;2697.11
10/05/2023;Monitor;Tecnologia;Nordeste;BA;8;8230.94;5718.56
03/10/2024;Headset;Acessórios;Sul;RS;1;3564.68;2036.33
24/07/2024;Monitor;Tecnologia;Nordeste;BA;9;19682.26;11528.17
25/09/2023;Smartphone;Tecnologia;Centro-Oeste;DF;8;23021.32;14524.17
21/11/2023;Notebook;Tecnologia;Sudeste;SP;5;3476.52;2702.62
18/07/2023;Smartphone;Tecnologia;Sul;RS;5;8192.28;5805.24
05/03/2024;Headset;Acessórios;Sudeste;SP;9;25685.46;17692.65
06/03/2023;Teclado;Acessórios;Sul;PR;1;3324.01;2244.69
03/07/2023;Teclado;Acessórios;Nordeste;BA;7;4931.56;2881.46
13/11/2024;Mouse;Acessórios;Sudeste;RJ;8;18202.78;9684.37
16/04/2024;Mouse;Acessórios;Sudeste;SP;5;8741.08;4863.85
24/05/2024;Monitor;Tecnologia;Sul;RS;8;16720.68;11288.08
06/04/2023;Smartphone;Tecnologia;Sudeste;RJ;5;24423.88;19438.07
27/10/2024;Monitor;Tecnologia;Sudeste;RJ;6;3872.53;2261.28
17/12/2024;Headset;Acessórios;Sul;RS;5;20810.39;14680.05
14/07/2024;Smartphone;Tecnologia;Sul;RS;3;12604.25;9893.58
06/05/2024;Smartphone;Tecnologia;Sul;PR;5;16301.84;10196.36
18/06/2023;Headset;Acessórios;Sul;PR;8;35559.81;23664.22
27/12/2023;Monitor;Tecnologia;Sul;PR;5;3093.26;1895.98
09/03/2023;Smartphone;Tecnologia;Sudeste;SP;1;2661.67;2117.58
15/12/2023;Notebook;Tecnologia;Centro-Oeste;DF;5;19365.51;11965.89
08/02/2024;Teclado;Acessórios;Centro-Oeste;DF;1;4272.48;2736.98
24/03/2023;Monitor;Tecnologia;Centro-Oeste;DF;3;3307.0;1667.07
26/04/2024;Mouse;Acessórios;Sul;RS;7;30738.75;22865.65
11/10/2024;Headset;Acessórios;Sudeste;RJ;5;24924.33;16615.29
